Abandono,Gender,Age,High_School_GPA,Language_Level,Toefl
0,1,26,87,8,637
1,1,24,75.12,7,590
1,1,24,84.57,7,593
1,0,23,88.83,8,617
1,1,23,85.14,8,613
0,0,22,83.26,7,591
0,0,21,89.33,7,587
0,1,21,90.1,7,563
0,0,21,83.45,8,610
0,0,20,89.12,7,583
0,0,20,92.64,7,573
0,0,20,95.03,8,610
0,1,20,73.66,6,520
0,1,20,71.46,7,560
0,1,20,87.74,7,550
0,0,20,81.44,7,550
0,0,20,94.62,8,637
0,0,20,86.48,4,470
0,1,20,97.55,8,653
0,1,20,73.46,7,563
0,1,20,78.58,7,550
0,1,20,74.39,6,543
0,1,20,80.81,8,610
0,1,20,80,8,607
0,1,20,76,8,620
0,0,19,80.13,8,623
0,0,19,83.02,8,608
0,1,19,80.2,7,553
1,0,19,83.61,6,540
0,1,19,78.93,7,550
0,0,19,95.57,8,640
0,1,19,72.57,7,550
0,0,19,96.57,8,610
0,1,19,82.64,8,607
0,1,19,69.64,7,570
0,0,19,75.6,7,577
0,0,19,76.32,7,577
0,0,19,86.83,7,550
0,0,19,84.02,7,553
0,0,19,79.02,6,520
0,1,19,95.62,8,643
0,0,19,83.21,7,590
0,1,19,88.11,7,560
0,0,19,86.38,8,650
0,0,19,87.94,8,617
0,0,19,84.93,8,617
0,1,19,75.9,7,580
0,1,19,84.66,7,587
0,0,19,83.1,7,550
0,0,19,93.19,8,617
0,1,19,72.94,7,550
0,1,19,83.77,7,563
1,1,19,82.31,7,577
0,1,19,75.7,7,563
0,1,19,82.31,8,600
1,0,19,80.17,7,550
0,0,19,84.29,7,573
0,1,19,84.45,8,637
0,1,19,87.53,8,637
0,1,19,95.19,8,650
0,1,19,93.9,8,600
0,1,19,75.2,7,567
0,0,19,79.37,7,580
0,0,19,86.19,7,563
0,1,19,87.93,8,600
0,1,19,88.92,8,600
0,0,19,95.2,8,600
0,1,19,82.95,7,573
0,1,19,96.86,8,643
0,0,19,90.88,8,613
0,1,19,85.57,7,597
0,1,19,80.29,7,567
1,1,19,74.91,6,527
0,1,19,86.48,8,610
0,1,19,71.02,7,550
0,1,19,78.61,7,559
0,1,19,79.21,7,587
0,0,19,95,7,550
0,1,19,82.64,7,577
0,0,19,97.78,8,673
0,1,19,80.89,7,570
0,0,19,83.23,7,563
0,1,19,80.43,8,600
0,0,19,90.69,8,621
0,0,19,92.43,7,573
0,1,19,87,8,650
0,1,19,91.07,8,617
0,1,19,82.1,8,617
0,0,19,93.79,8,620
0,0,19,92.92,8,633
0,0,19,90.21,7,580
0,1,19,86.67,8,613
0,0,19,93.19,7,563
0,0,19,84.98,7,573
0,0,19,92.17,8,617
0,0,19,85,7,550
0,1,19,76.2,7,550
0,1,19,90.79,8,603
0,1,19,91.38,8,650
0,1,19,86.5,7,557
0,1,19,86.88,7,581
0,0,19,84.62,7,550
0,1,19,82.55,7,550
0,0,19,86.64,7,563
0,1,19,78.11,8,617
0,0,19,93.2,8,641
0,1,19,90.24,8,631
